"(10, 20)",0.4120973269362577
"(0, 10)",0.38399588759424264
"(20, 30)",0.11103495544893763
"(30, 40)",0.047121315969842356
"(40, 50)",0.019705277587388624
"(110, 120)",0.001199451679232351
"(60, 70)",0.0049691569568197395
"(90, 100)",0.002398903358464702
"(70, 80)",0.0025702535983550376
"(80, 90)",0.002398903358464702
"(50, 60)",0.008567511994516792
"(120, 130)",0.001199451679232351
"(170, 180)",0.0003427004797806717
"(100, 110)",0.0013708019191226869
"(230, 240)",0.0003427004797806717
"(140, 150)",0.0006854009595613434
none,0.0001718213058419244
